,sourceID,sourceName,beamsize,x_emittance,y_emittance,x_norm_emittance,y_norm_emittance,losses,relbeta
0,16777217,bs_1,1.0,0.002989940728352142,6.685828453841235e-05,6.902119096472049e-06,1.5433879277074038e-07,0,0.002308440645880784
1,16777218,bs_4,4.0,0.10471089959927049,0.004291756304201517,0.00024171951720770952,9.907290127339923e-06,0,0.002308440421032435
2,16777219,bs_7,7.0,0.6383307950683821,0.021636777589024627,0.0014735524312330208,4.994734151426906e-05,0,0.002308440257634436
3,16777220,bs_10,10.0,1.8872497177516856,0.08267171886861828,0.004356614696240216,0.00019084322652093835,0,0.0023084401853514865
4,16777221,bs_13,13.0,5.148296474249026,0.19607856592443332,0.01188456471125671,0.0004526367929421277,1,0.0023084399091741255
5,16777222,bs_16,16.0,9.59219862788635,0.4001879051313366,0.0221430742125077,0.0009238122380524342,13,0.0023084400221856007
6,16777223,bs_19,19.0,16.18635905659799,0.8569779159888186,0.037365340843354994,0.0019782875082767627,33,0.0023084401596777976
7,16777224,bs_22,22.0,17.15735876772518,4.990850134736259,0.039606837245910805,0.011521108329160354,54,0.0023084399091741255
8,16777225,bs_25,25.0,21.974313154265516,4.70697269141596,0.05072651662031223,0.010865792563628743,109,0.0023084399091741255
9,16777226,bs_28,28.0,23.183190254312564,6.667444897701083,0.053517148248818834,0.015391438068568799,151,0.002308440083867452
10,16777227,bs_31,31.0,25.488464145896327,10.03368178030344,0.058838747067273094,0.02316221413128302,184,0.0023084400047610272
