,sourceID,sourceName,beamsize,x_emittance,y_emittance,x_norm_emittance,y_norm_emittance,losses,relbeta
0,16777217,bs_1,1.0,0.0030069239461839644,0.0006104668969778109,6.941327867001645e-06,1.4092311477487742e-06,0,0.0023084419481079308
1,16777218,bs_4,4.0,0.12179713336057811,0.04040183058803381,0.00028116232916166294,9.326551846583286e-05,0,0.0023084416870871546
2,16777219,bs_7,7.0,0.7121303569610042,0.19950508246336543,0.0016439157845111359,0.00046054707673370767,0,0.0023084416895057516
3,16777220,bs_10,10.0,2.1204596300178036,0.6976156126258791,0.004894970381498494,0.0016104092306845445,0,0.0023084416556561106
4,16777221,bs_13,13.0,5.007129883872517,1.7169842172899634,0.011558697279808811,0.0039635682041695266,1,0.002308441512454741
5,16777222,bs_16,16.0,9.721575589065171,2.8515510920509577,0.022441749549642637,0.006582656777137831,13,0.0023084416254351894
6,16777223,bs_19,19.0,16.208735627044007,7.099603330136763,0.03741702066084682,0.016389063934408196,32,0.0023084416839057767
7,16777224,bs_22,22.0,18.820000165638383,11.17610416653298,0.0434449861485893,0.025799451989204938,56,0.002308441552020356
8,16777225,bs_25,25.0,25.289112009651273,17.34992279757983,0.05837859152330684,0.040051388738927454,107,0.002308441512454741
9,16777226,bs_28,28.0,27.82202414175297,23.86942910514438,0.06422568982644998,0.05510133059444789,149,0.0023084416278544655
10,16777227,bs_31,31.0,30.819095182620252,31.8952336363332,0.07114427120338168,0.07362848060504239,184,0.0023084416080716517
