,sourceID,sourceName,beamsize,x_emittance,y_emittance,x_norm_emittance,y_norm_emittance,losses,relbeta
0,16777217,bs_1,1.0,0.0028679391104357833,7.938000288181343e-06,6.6204864583448425e-06,1.8324455781858128e-08,0,0.0023084412058377237
1,16777218,bs_4,4.0,0.1042353341921388,0.0008403406285467742,0.0002406217600181586,1.9398819279742882e-06,0,0.002308440998031761
2,16777219,bs_7,7.0,0.6320399570341956,0.006781849505038499,0.0014590307775230243,1.5655540518057957e-05,0,0.002308440904353746
3,16777220,bs_10,10.0,1.8657540349872401,0.07588098165187825,0.004306994341972193,0.00017516722596297131,0,0.0023084408691721836
4,16777221,bs_13,13.0,4.984010461058373,0.17321041317044686,0.011505325714843936,0.0003998471183596789,2,0.0023084411939597958
5,16777222,bs_16,16.0,9.491386141071729,0.35766797063587386,0.02191036098451936,0.0008256575206988244,13,0.0023084407566754186
6,16777223,bs_19,19.0,16.15804814460837,0.9717300980627439,0.037299999970797054,0.0022431875623206018,38,0.0023084409857467847
7,16777224,bs_22,22.0,16.702971007495353,5.5059664603523375,0.0385579246640191,0.01271023220273888,64,0.00230844093011515
8,16777225,bs_25,25.0,22.028710227603785,5.340286966060314,0.05085211052253355,0.012327769543214172,117,0.0023084408712110787
9,16777226,bs_28,28.0,22.83800066919913,7.540526298124588,0.05272031679970174,0.017406906192526668,163,0.002308440966112089
10,16777227,bs_31,31.0,22.912176785795825,11.168376042225152,0.05289154844219939,0.025781605474703616,200,0.002308440966112089
